Ticker,Company,Sector,52W High,SMA20,RSI Proxy,Daily Vol%,Vol Ratio,Breakout Signal,Conviction,Notes
EMMVEE.NS,Emmvee Solar,Solar,,,,,,,,
CENTUM.NS,Centum Electronics,Defense Electronics,,,,,,,,
GODAVARIB.NS,Godavari Biorefineries,Biofuels,,,,,,,,
ATHERENERG.NS,Ather Energy,Electric Vehicles,,,,,,,,
PARAS.NS,Paras Defence,Defense,,,,,,,,
OMNI.NS,Omnitech Engineering,Engineering,,,,,,,,
GROWW.NS,Groww,Fintech,,,,,,,,
TI.NS,Tilaknagar Industries,Beverages,,,,,,,,
BELRISE.NS,Belrise Industries,Auto Components,,,,,,,,
LALPATHLAB.NS,Dr. Lal PathLabs,Diagnostics,,,,,,,,
HINDCOPPER.NS,Hindustan Copper,Mining,,,,,,,,
BEL.NS,Bharat Electronics,Defense,,,,,,,,
TATATECH.NS,Tata Technologies,Technology,,,,,,,,
PINELABS.NS,Pine Labs,Fintech,,,,,,,,
NEPHROPLUS.NS,Nephro Plus,Healthcare,,,,,,,,
TRENT.NS,Trent,Retail,,,,,,,,
RELIANCE.NS,Reliance Industries,Conglomerate,,,,,,,,
HDFCBANK.NS,HDFC Bank,Banking,,,,,,,,
ICICIBANK.NS,ICICI Bank,Banking,,,,,,,,
SBIN.NS,SBI,Banking,,,,,,,,
INFY.NS,Infosys,Technology,,,,,,,,
BAJFINANCE.NS,Bajaj Finance,Finance,,,,,,,,
M&M.NS,Mahindra & Mahindra,Auto,,,,,,,,
BSL.NS,BSL Limited,Textiles,,,,,,,,
